1497768,1497793
1497793,1497798
1497793,1590264535
1497798,1590280324
1497880,1561752547
1497880,1498116
1497891,1564517511
1497891,1339101915
1497891,1497897
1497897,7474494702
1497897,1497891
1497902,7474494702
1497902,1564517507
1497983,7817976146
1497983,1497986
1497983,2702058056
1497986,1497983
1497986,2252596179
1497993,1604293603
1497993,421302116
1497996,259750213
1497996,808836559
1498001,592521030
1498001,808836562
1498001,259750217
1498018,265693372
1498018,1250743551
1498018,387793521
1498028,387793517
1498028,808957061
1498033,259750209
1498033,1550787819
1498042,616577053
1498042,265693396
1498116,21421595
1498116,21306180
1498118,97275111
1498118,1984990163
1498118,1564516365
1498128,4366854536
1498128,265864953
1498135,20650391
1498135,7443818242
1498141,1497798
1498159,1627837448
1498159,1627837445
1498159,429567389
1500143,1591568443
1500184,259750249
1500184,302454691
1500224,1591568429
1500224,1500233
1500233,1591568443
1500253,560308913
1500277,20920971
1500286,1500301
1500294,1500301
1500294,1500334
1500306,208586053
1500322,21543012
1500324,1500286
1500324,20650422
1500334,1500416
1500355,1500224
1500355,18318860
1500367,18319127
1500367,1500277
1500370,1500367
1500375,1500370
1500396,63978463
1500405,424144703
1500405,262263553
1500416,2449891506
3463475,1755295516
3463475,1950188185
3463475,3463478
3463475,20650128
3463478,3463482
3463478,3463475
3463478,20650128
3463478,20650137
3463482,1470510767
3463482,3463478
3463482,3463486
3463482,20650079
3463486,1470510771
3463486,259748860
3463486,3463482
3463490,1470510777
3463490,371265956
3463490,259748860
3463492,371265956
3463492,3463497
3463497,1705156678
3463497,81649738
3463497,3463492
3463499,81649738
3463499,1470512023
3463501,33531822
3463501,1470505838
3463502,1470512039
3463502,6148969910
3463503,3463502
3463503,1416834957
3463505,1275279784
3463505,1416834957
3463505,3463509
3463509,957788421
3463509,3463505
3463509,265860048
3463523,1955217268
3463523,429567489
3463523,429567497
18317258,20920970
18317258,20650409
18317261,1500334
18318857,4410408519
18318860,20920971
18318860,18318857
18319127,1500233
18319127,1591568429
20380892,764451248
20380892,764451176
20380892,261656424
20380892,4336535125
20641907,4539908822
20641907,540367585
20641911,540382275
20641911,4539906994
20641911,20641912
20641912,540382272
20641912,261655737
20641912,20641911
20641913,552589177
20641913,1475617575
20641913,4455139353
20641914,20641925
20641914,552589177
20641914,869743757
20641925,1481788833
20641925,1481788838
20641925,20641914
20641935,20641943
20641935,1481788818
20641935,552589188
20641936,538135974
20641936,540382276
20641936,517228594
20641936,540370821
20641943,20641968
20641943,517228594
20641943,20641935
