osmid,lat,lon
4364699830,43.714119,-79.4541078
262450448,43.7797525,-79.4526662
2424895817,43.7880362,-79.3314418
29657719,43.7309426,-79.4462699
2295911766,43.7591126,-79.3340408
1360086034,43.7089815,-79.4287368
5595320422,43.7708239,-79.4116635
1454583226,43.7656478,-79.3927812
7127096400,43.7622189,-79.4681354
2962738777,43.7182275,-79.3760384
261694490,43.7047922,-79.4902803
2235593745,43.7192831,-79.4419535
1276660199,43.7318523,-79.3492233
1967156815,43.8039448,-79.3364771
547747612,43.7732611,-79.5080653
2217331974,43.747003,-79.4056066
6625547628,43.7073409,-79.4820028
130033004,43.7545377,-79.4534572
7428269000,43.784158,-79.3647089
1811960417,43.729206,-79.5229144
6685451463,43.7707758,-79.3274004
7335193683,43.7330934,-79.4328706
7609431406,43.8074107,-79.3392097
440448897,43.7497148,-79.4103441
663792952,43.7784082,-79.4172859
1454583299,43.776074,-79.3903408
2445177294,43.7827531,-79.4452239
20698276,43.7788078,-79.3410597
597505000,43.7742998,-79.3684128
2019021626,43.7273388,-79.4510477
2836297556,43.7221164,-79.3749999
430559166,43.7318085,-79.5112641
1125674229,43.7679498,-79.4107411
2176825213,43.7541166,-79.360237
4426385338,43.7362682,-79.4838983
5448549188,43.7614197,-79.4745758
2785904597,43.7070227,-79.4846671
7403734299,43.760129,-79.3222532
4588623918,43.7630303,-79.4887793
1735935878,43.7959977,-79.3488673
2024048623,43.7363545,-79.3074345
5384890959,43.7940157,-79.3569567
3072254602,43.7316511,-79.3099361
7951337106,43.7446402,-79.4303217
1853299842,43.7202087,-79.34818
1257587597,43.7534415,-79.515988
1724696673,43.7595243,-79.3201009
1585265519,43.7591653,-79.4105125
5667681819,43.7700839,-79.4182785
3486748933,43.7529427,-79.3137056
5593236107,43.77207,-79.4127852
1895616780,43.7708181,-79.5147879
1364979518,43.7507445,-79.3147042
3711740734,43.7191233,-79.3779837
421359059,43.7482172,-79.3282637
2737510337,43.7589815,-79.5115283
5578719926,43.7778261,-79.406068
29656996,43.711368,-79.4415649
430997562,43.7982426,-79.3403604
4550588618,43.7362147,-79.4792413
33070398,43.7739088,-79.4536
265866000,43.7619258,-79.3285831
4590514792,43.7344205,-79.5306168
423027848,43.7521794,-79.3323456
365672824,43.7599081,-79.5105371
252364085,43.7657776,-79.4214282
1421569381,43.7910761,-79.4493994
267468396,43.7795846,-79.332759
1481572603,43.7452332,-79.3881549
7650358551,43.8003162,-79.4092063
5384890951,43.7954163,-79.3582537
1776370816,43.731259,-79.3365143
421358914,43.7533998,-79.3277753
1277814907,43.7884571,-79.4549852
430858812,43.7753588,-79.5039778
7229191921,43.7686805,-79.379044
261684927,43.7426013,-79.4210642
130033473,43.7577862,-79.4523156
6169548259,43.7676357,-79.4130251
414407473,43.7704076,-79.4152733
595912524,43.7695374,-79.3764057
5605511817,43.7682958,-79.4116813
1986242517,43.7664094,-79.4154947
1811960426,43.7294505,-79.523119
370952550,43.7907805,-79.3593861
6157774573,43.7719894,-79.4146734
7970035744,43.7271538,-79.3758103
429567371,43.7344988,-79.3480544
90778509,43.8022163,-79.3709385
262450270,43.7795322,-79.4634667
2452088311,43.7999237,-79.4024736
7241283871,43.7306317,-79.4644804
4175056901,43.7643997,-79.5043692
5611950482,43.7688326,-79.4062901
296232570,43.7237895,-79.3787433
251066720,43.7417711,-79.435095
927391233,43.7892876,-79.3733007
4196271894,43.7928107,-79.3563721
261634299,43.7358336,-79.446685
4179164938,43.7738742,-79.5107793
430559290,43.7301018,-79.5026148
760160286,43.7791809,-79.4130576
262450430,43.7799368,-79.4586007
266906301,43.7927518,-79.3630955
196276069,43.7680372,-79.4098894
4611340459,43.7596948,-79.3554422
809083550,43.7530131,-79.4901546
1247829317,43.7762662,-79.3507905
6045163888,43.7300864,-79.3293586
2473862289,43.7692748,-79.5037517
1754026076,43.758581,-79.3624192
259748387,43.7398941,-79.3671319
6159420159,43.7725979,-79.41469
2476748973,43.8054375,-79.3856729
4808686740,43.7628534,-79.4998517
7027355571,43.775132,-79.3366029
431399111,43.7184645,-79.5280996
430845383,43.7581254,-79.5091088
962563886,43.7351546,-79.4192947
1247829853,43.7801325,-79.3502858
772355228,43.7991381,-79.3952814
302454257,43.7756856,-79.344626
704381033,43.7356666,-79.4491558
2082869798,43.7549408,-79.3604275
2267851991,43.7212217,-79.3777336
2176825212,43.7552303,-79.3590283
1972830482,43.7412144,-79.3269556
7027355679,43.7724955,-79.3360442
775435454,43.8014268,-79.3536822
4580776500,43.771269,-79.330639
430878017,43.7556333,-79.4913599
679516723,43.7407371,-79.3445765
430877731,43.7607493,-79.497808
5557591050,43.7788438,-79.4142648
1481690431,43.7463683,-79.3967743
7500176274,43.7444074,-79.4860095
4315978213,43.7343218,-79.4496296
1696972294,43.814815,-79.3447765
1137002973,43.736598,-79.5219702
495257622,43.7337912,-79.3455749
4010229702,43.7796536,-79.4492738
1272611479,43.7581823,-79.4068612
2215197157,43.7208357,-79.4413501
772355322,43.7879829,-79.3925128
808933963,43.7738526,-79.3534719
1755263236,43.7184644,-79.3729664
1424764038,43.7699559,-79.3569231
4322120335,43.7439534,-79.4921937
431259005,43.7077087,-79.4777428
7507379660,43.7169916,-79.4679387
4227513356,43.7702871,-79.5462921
391899422,43.7760384,-79.5018791
417718656,43.747483,-79.4249469
6421345496,43.7781482,-79.4682598
2525846993,43.7598013,-79.5075703
2386979736,43.7535323,-79.3586772
431266151,43.7125568,-79.4891872
927441539,43.7861437,-79.3865063
820093773,43.7441766,-79.4893634
252680304,43.7257752,-79.3803215
196333783,43.79577,-79.3957244
2705592919,43.7248196,-79.5100603
1776254800,43.7262424,-79.3134373
429565225,43.7471305,-79.3567164
516964224,43.7814719,-79.3596122
55527337,43.787858,-79.4135894
2217338194,43.7460755,-79.4069614
418976413,43.7477668,-79.3327833
1756908141,43.7685691,-79.5135329
1446752783,43.7906393,-79.3732952
1753988240,43.777215,-79.3445127
4456348587,43.7635438,-79.410381
6117341564,43.7554367,-79.4376468
1485258562,43.7297055,-79.3491059
682386681,43.7901544,-79.3543063
3176374009,43.7600444,-79.4176126
1754031583,43.7580459,-79.3641104
365961461,43.6979481,-79.478792
595409574,43.7707823,-79.3673912
964224609,43.7458257,-79.4846676
1479900838,43.7462433,-79.3460176
1776370786,43.7277184,-79.3376961
147051328,43.7648466,-79.4037234
2475517061,43.7749436,-79.5023703
1756908108,43.7669767,-79.5154634
1754012053,43.7563588,-79.3529622
7127055061,43.7609685,-79.4649405
955597485,43.7222723,-79.3043836
2210550811,43.7185275,-79.3364528
1756908139,43.7685141,-79.5137865
7125135810,43.77766,-79.4703235
5596715910,43.7816414,-79.4160856
388526325,43.7112801,-79.328852
5591004333,43.7729239,-79.4136214
1454610697,43.7735787,-79.4065759
379601513,43.7071554,-79.4682838
1424764438,43.7735876,-79.3487664
7638852493,43.7808804,-79.3516501
265693364,43.7685313,-79.3518204
5633099250,43.7818458,-79.4127032
5780313915,43.7733441,-79.4131816
382681210,43.7773701,-79.4487163
431267150,43.7188454,-79.4881229
